elo_rank,team,elo_rating,date
161,North Korea,1498.37,2025-06-10
162,Central Spain,1496.76,1923-11-25
163,Délvidék,1496.72,2016-08-03
164,Madagascar,1496.65,2026-06-02
165,Kazakhstan,1493.7,2026-06-09
166,Saugeais,1493.54,2013-06-29
167,North Vietnam,1490.9,1970-09-20
168,Comoros,1489.95,2026-06-09
169,Cilento,1488.3,2011-12-29
170,Székely Land,1487.85,2023-07-02
171,Luxembourg,1487.54,2026-06-06
172,Kuwait,1487.1,2026-06-05
173,Madrid,1487.1,2013-06-07
174,Luhansk PR,1485.72,2019-12-08
175,El Salvador,1485.66,2026-06-06
176,Republic of St. Pauli,1484.84,2006-06-03
177,Sápmi,1484.8,2023-07-16
178,Gozo,1484.3,2025-07-17
179,Yoruba Nation,1483.57,2022-05-23
180,Matabeleland,1483.49,2022-05-25
181,Franconia,1482.67,2019-06-25
182,Seborga,1481.69,2014-08-10
183,Åland Islands,1479.31,2023-07-13
184,South Ossetia,1479.07,2019-12-08
185,Kenya,1478.83,2026-06-04
186,Zimbabwe,1478.59,2026-05-30
187,Somaliland,1476.35,2019-05-04
188,Nicaragua,1475.53,2026-06-05
189,East Turkestan,1473.91,2025-07-04
190,Mauritania,1473.73,2026-06-08
191,South Yemen,1473.59,1982-11-25
192,Guyana,1472.3,2026-03-30
193,Hmong,1470.12,2023-08-08
194,Aymara,1469.2,2022-06-19
195,Mozambique,1468.74,2026-06-09
196,Martinique,1468.36,2026-03-29
197,Dominican Republic,1466.29,2026-06-03
198,Estonia,1465.91,2026-06-09
199,Rwanda,1465.77,2026-03-30
200,Sudan,1464.92,2026-01-03
201,Ryūkyū,1464.87,2016-11-26
202,Provence,1464.64,2013-06-28
203,West Papua,1464.18,2022-11-13
204,Kabylia,1462.69,2018-06-09
205,Papua New Guinea,1459.46,2025-11-23
206,Niger,1457.36,2026-06-08
207,Romani people,1455.83,2016-05-16
208,Gotland,1453.96,2017-06-29
209,Greenland,1446.53,2024-06-01
210,Lebanon,1446.39,2025-11-26
211,Faroe Islands,1446.24,2026-06-09
212,Equatorial Guinea,1446.22,2026-06-09
213,Armenia,1445.71,2026-06-09
214,Vanuatu,1445.55,2026-06-06
215,Mayotte,1443.82,2023-08-26
216,Sierra Leone,1443.68,2026-06-09
217,Kyrgyzstan,1442.29,2026-06-09
218,Găgăuzia,1438.91,2006-11-21
219,Niue,1438.73,1983-08-22
220,Saarland,1437.6,1956-06-06
221,Western Isles,1434.15,2025-07-17
222,Chechnya,1432.69,2006-02-18
223,Tajikistan,1430.67,2026-06-09
224,Two Sicilies,1429.98,2023-07-02
225,French Guiana,1429.67,2024-11-19
226,Monaco,1429.52,2017-04-29
227,Malawi,1429.16,2026-06-09
228,Namibia,1427.38,2026-03-28
229,Marshall Islands,1427.05,2025-08-16
230,Azerbaijan,1425.07,2026-06-09
231,Ticino,1423.69,2023-08-06
232,Fiji,1421.71,2026-06-06
233,Botswana,1418.08,2026-03-31
234,Manchukuo,1417.13,1942-08-09
235,Ethiopia,1415.07,2026-06-09
236,Cyprus,1412.26,2026-06-07
237,Burundi,1411.94,2026-05-26
238,Western Australia,1409.02,1980-11-25
239,Ambazonia,1408.46,2007-06-07
240,Tanzania,1408.31,2026-03-29
241,Western Sahara,1406.3,2013-06-28
242,Liberia,1405.99,2026-06-09
243,Cuba,1404.69,2026-03-29
244,Orkney,1402.0,2025-07-17
245,Lesotho,1401.54,2026-06-04
246,Palau,1400.37,1998-08-01
247,Turkmenistan,1400.23,2025-11-18
248,Malta,1398.9,2026-06-05
249,Saint Barthélemy,1394.66,2023-03-10
250,Vietnam Republic,1389.35,1975-03-23
251,Raetia,1388.68,2023-08-06
252,Vatican City,1388.06,2022-04-22
253,Solomon Islands,1384.46,2026-03-30
254,Central African Republic,1384.39,2026-06-09
255,Saint Vincent and the Grenadines,1380.76,2026-03-29
256,Yemen DPR,1379.4,1989-11-05
257,Guinea-Bissau,1375.86,2026-03-31
258,Barawa,1370.2,2019-05-25
259,Lithuania,1370.15,2026-06-09
260,Bermuda,1368.59,2026-06-06
261,Latvia,1365.86,2026-06-09
262,Puerto Rico,1364.85,2026-06-05
263,Saint Helena,1362.58,2023-07-13
264,Philippines,1357.86,2026-06-09
265,Moldova,1353.81,2026-06-09
266,Congo,1352.44,2025-10-14
267,Hitra,1351.2,2025-07-17
268,Sark,1351.09,2003-07-03
269,Chagos Islands,1346.32,2019-12-29
270,Saare County,1344.8,2017-06-29
271,Micronesia,1343.67,2003-07-07
272,Hong Kong,1340.26,2026-06-09
273,Eswatini,1339.84,2025-10-13
274,Singapore,1317.38,2026-06-05
275,Sint Maarten,1313.16,2026-03-30
276,Belize,1312.65,2026-03-30
277,Yemen,1312.01,2025-11-26
278,Saint Pierre and Miquelon,1300.84,2012-09-28
279,Wallis Islands and Futuna,1300.37,1995-08-20
280,Darfur,1297.97,2014-06-07
281,Saint Kitts and Nevis,1297.28,2026-03-30
282,Grenada,1294.63,2026-05-16
283,Saint Martin,1293.15,2026-03-29
284,South Sudan,1286.82,2025-11-25
285,India,1286.62,2026-06-09
286,Chad,1278.02,2025-11-17
287,Tibet,1275.16,2025-07-03
288,Kiribati,1259.44,2011-09-05
289,Samoa,1259.17,2024-11-18
290,Montserrat,1257.31,2025-06-10
291,Saint Lucia,1253.61,2026-03-27
292,Mauritius,1241.15,2025-10-13
293,Falkland Islands,1240.28,2023-07-13
294,Aruba,1238.35,2026-06-06
295,Tuvalu,1232.8,2023-11-30
296,Eritrea,1231.09,2019-09-10
297,Gibraltar,1227.59,2026-06-06
298,Frøya,1211.77,2025-07-17
299,São Tomé and Príncipe,1204.67,2025-10-13
300,Afghanistan,1202.65,2026-06-10
301,Dominica,1200.02,2026-03-30
302,Cook Islands,1196.97,2024-09-06
303,Andorra,1192.46,2026-06-07
304,Antigua and Barbuda,1175.78,2025-11-18
305,Barbados,1174.44,2026-03-29
306,Myanmar,1173.67,2026-06-09
307,Bangladesh,1173.05,2026-06-05
308,Bonaire,1170.22,2026-06-06
309,Nepal,1164.14,2025-11-18
310,Taiwan,1154.33,2025-11-18
311,Pakistan,1132.63,2026-06-10
312,Cambodia,1125.45,2026-06-09
313,Tonga,1117.76,2024-09-09
314,Cayman Islands,1099.17,2026-06-06
315,Turks and Caicos Islands,1095.13,2025-08-16
316,Alderney,1094.13,2022-04-23
317,Djibouti,1093.84,2025-11-26
318,British Virgin Islands,1091.99,2026-06-06
319,Somalia,1090.8,2025-11-26
320,Maldives,1089.66,2026-06-01
321,Liechtenstein,1072.58,2026-06-07
322,Sri Lanka,1057.56,2025-11-18
323,Seychelles,1057.2,2025-10-14
324,United States Virgin Islands,1050.7,2026-03-28
325,Mongolia,1043.2,2026-06-05
326,Guam,1037.87,2026-06-06
327,Bahamas,1026.76,2026-03-29
328,Northern Mariana Islands,1021.05,2024-04-07
329,Laos,998.79,2025-11-19
330,American Samoa,980.47,2026-03-28
331,San Marino,971.67,2026-06-09
332,Anguilla,965.55,2026-03-29
333,Brunei,957.95,2025-11-18
334,Timor-Leste,945.73,2025-11-18
335,Macau,909.32,2026-03-29
336,Bhutan,898.7,2026-06-04
